,course
0,"

LEARNING OUTCOMES



Anaconda

• Learn to use Anaconda to manage packages and 
  environments for use with Python 

LESSON TWO

Jupyter Notebooks

• Learn to use this open-source web application to combine
  explanatory text, math equations, code, and visualizations 
  in one sharable document

LESSON THREE

Data Analysis 
Process

• Learn about the keys steps of the data analysis process."
1,"

LEARNING OUTCOMES

LESSON ONE

Anaconda

• Learn to use Anaconda to manage packages and 
  environments for use with Python 



Jupyter Notebooks

• Learn to use this open-source web application to combine
  explanatory text, math equations, code, and visualizations 
  in one sharable document

LESSON THREE

Data Analysis 
Process

• Learn about the keys steps of the data analysis process."
2,"

LEARNING OUTCOMES

LESSON ONE

Anaconda

• Learn to use Anaconda to manage packages and 
  environments for use with Python 

LESSON TWO

Jupyter Notebooks

• Learn to use this open-source web application to combine
  explanatory text, math equations, code, and visualizations 
  in one sharable document



Data Analysis 
Process

• Learn about the keys steps of the data analysis process."
3,"

LEARNING OUTCOMES



Anaconda

• Learn to use Anaconda to manage packages and 
  environments for use with Python 

LESSON TWO

Jupyter Notebooks

• Learn to use this open-source web application to combine
  explanatory text, math equations, code, and visualizations 
  in one sharable document

LESSON THREE

Data Analysis 
Process

• Learn about the keys steps of the data analysis process."
4,"

LEARNING OUTCOMES

LESSON ONE

Anaconda

• Learn to use Anaconda to manage packages and 
  environments for use with Python 



Jupyter Notebooks

• Learn to use this open-source web application to combine
  explanatory text, math equations, code, and visualizations 
  in one sharable document

LESSON THREE

Data Analysis 
Process

• Learn about the keys steps of the data analysis process."
5,"

LEARNING OUTCOMES

LESSON ONE

Anaconda

• Learn to use Anaconda to manage packages and 
  environments for use with Python 

LESSON TWO

Jupyter Notebooks

• Learn to use this open-source web application to combine
  explanatory text, math equations, code, and visualizations 
  in one sharable document



Data Analysis 
Process

• Learn about the keys steps of the data analysis process."
6,"

LEARNING OUTCOMES



Anaconda

• Learn to use Anaconda to manage packages and 
  environments for use with Python 

LESSON TWO

Jupyter Notebooks

• Learn to use this open-source web application to combine
  explanatory text, math equations, code, and visualizations 
  in one sharable document

LESSON THREE

Data Analysis 
Process

• Learn about the keys steps of the data analysis process."
7,"

LEARNING OUTCOMES

LESSON ONE

Anaconda

• Learn to use Anaconda to manage packages and 
  environments for use with Python 



Jupyter Notebooks

• Learn to use this open-source web application to combine
  explanatory text, math equations, code, and visualizations 
  in one sharable document

LESSON THREE

Data Analysis 
Process

• Learn about the keys steps of the data analysis process."
8,"

LEARNING OUTCOMES

LESSON ONE

Anaconda

• Learn to use Anaconda to manage packages and 
  environments for use with Python 

LESSON TWO

Jupyter Notebooks

• Learn to use this open-source web application to combine
  explanatory text, math equations, code, and visualizations 
  in one sharable document



Data Analysis 
Process

• Learn about the keys steps of the data analysis process."
9,"

LEARNING OUTCOMES



Anaconda

• Learn to use Anaconda to manage packages and 
  environments for use with Python 

LESSON TWO

Jupyter Notebooks

• Learn to use this open-source web application to combine
  explanatory text, math equations, code, and visualizations 
  in one sharable document

LESSON THREE

Data Analysis 
Process

• Learn about the keys steps of the data analysis process."
10,"

LEARNING OUTCOMES

LESSON ONE

Anaconda

• Learn to use Anaconda to manage packages and 
  environments for use with Python 



Jupyter Notebooks

• Learn to use this open-source web application to combine
  explanatory text, math equations, code, and visualizations 
  in one sharable document

LESSON THREE

Data Analysis 
Process

• Learn about the keys steps of the data analysis process."
11,"

LEARNING OUTCOMES

LESSON ONE

Anaconda

• Learn to use Anaconda to manage packages and 
  environments for use with Python 

LESSON TWO

Jupyter Notebooks

• Learn to use this open-source web application to combine
  explanatory text, math equations, code, and visualizations 
  in one sharable document



Data Analysis 
Process

• Learn about the keys steps of the data analysis process."
12,"

Pandas and AND 
NumPy:
Case Study 1

• Perform the entire data analysis process on a dataset
• Learn to use NumPy and Pandas to wrangle, explore, 
   analyze, and visualize data

LESSON"
13,"

Pandas and AND 
NumPy:
Case Study 1

• Perform the entire data analysis process on a dataset
• Learn to use NumPy and Pandas to wrangle, explore, 
   analyze, and visualize data

LESSON"
14,"

Pandas and AND 
NumPy:
Case Study 1

• Perform the entire data analysis process on a dataset
• Learn to use NumPy and Pandas to wrangle, explore, 
   analyze, and visualize data

LESSON"
15,"

Pandas and AND 
NumPy:
Case Study 1

• Perform the entire data analysis process on a dataset
• Learn to use NumPy and Pandas to wrangle, explore, 
   analyze, and visualize data

LESSON"
16,"
Case Study 2

• Perform the entire data analysis process on a dataset
• Learn more about NumPy and Pandas to wrangle, explore,
   analyze, and visualize data



Programming 
Workflow for Data 
Analysis

• Learn about how to carry out analysis outside Jupyter   
   notebook using IPython or the command line interface"
17,"
Case Study 2

• Perform the entire data analysis process on a dataset
• Learn more about NumPy and Pandas to wrangle, explore,
   analyze, and visualize data



Programming 
Workflow for Data 
Analysis

• Learn about how to carry out analysis outside Jupyter   
   notebook using IPython or the command line interface"
18,"
Case Study 2

• Perform the entire data analysis process on a dataset
• Learn more about NumPy and Pandas to wrangle, explore,
   analyze, and visualize data



Programming 
Workflow for Data 
Analysis

• Learn about how to carry out analysis outside Jupyter   
   notebook using IPython or the command line interface"
19,"

LEARNING OUTCOMES



Simpson’s Paradox

• Examine a case study to learn about Simpson’s Paradox

LESSON TWO

Probability 

• Learn the fundamental rules of probability."
20,"

LEARNING OUTCOMES

LESSON ONE

Simpson’s Paradox

• Examine a case study to learn about Simpson’s Paradox



Probability 

• Learn the fundamental rules of probability."
